,species,year,count
505,Nymphalis xanthomelas,2015,6
506,Inachis io,2015,6
507,Aphantopus hyperanthus,2015,6
508,Araschnia levana,2015,6
509,Papilio machaon,2015,6
510,Nymphalis xanthomelas,2016,6
511,Nymphalis antiopa,2016,6
512,Apatura ilia,2016,6
513,Araschnia levana,2016,6
514,Issoria lathonia,2016,6
515,Inachis io,2016,6
516,Pararge aegeria,2016,6
517,Papilio machaon,2016,6
518,Vanessa atalanta,2016,6
519,Polygonia c-album,2016,6
520,Aphantopus hyperanthus,2016,6
521,Aglais urticae,2016,6
522,Aporia crataegi,2016,6
523,Nymphalis polychloros,2016,6
524,Vanessa cardui,2016,6
525,Vanessa atalanta,2017,6
526,Issoria lathonia,2017,6
527,Aglais urticae,2017,6
528,Nymphalis antiopa,2017,6
529,Nymphalis xanthomelas,2017,6
530,Aporia crataegi,2017,6
531,Papilio machaon,2017,6
532,Nymphalis polychloros,2017,6
533,Inachis io,2017,6
534,Araschnia levana,2017,6
535,Aphantopus hyperanthus,2017,6
536,Polygonia c-album,2017,6
537,Apatura ilia,2017,6
538,Vanessa cardui,2017,6
539,Pararge aegeria,2017,6
540,Nymphalis antiopa,2018,9
541,Papilio machaon,2018,9
542,Araschnia levana,2018,9
543,Aglais urticae,2018,9
544,Issoria lathonia,2018,9
545,Vanessa atalanta,2018,9
546,Pararge aegeria,2018,9
547,Polygonia c-album,2018,9
548,Aporia crataegi,2018,9
549,Nymphalis polychloros,2018,9
550,Inachis io,2018,9
551,Aphantopus hyperanthus,2018,9
552,Apatura ilia,2018,9
553,Nymphalis xanthomelas,2018,9
554,Vanessa cardui,2018,9
555,Nymphalis polychloros,2019,7
556,Papilio machaon,2019,7
557,Pararge aegeria,2019,7
558,Araschnia levana,2019,7
559,Aglais urticae,2019,7
560,Aporia crataegi,2019,7
561,Apatura ilia,2019,7
562,Vanessa atalanta,2019,7
563,Aphantopus hyperanthus,2019,7
564,Nymphalis antiopa,2019,7
565,Vanessa cardui,2019,7
566,Polygonia c-album,2019,7
567,Inachis io,2019,7
568,Issoria lathonia,2019,7
569,Nymphalis xanthomelas,2019,7
570,Issoria lathonia,2020,7
571,Aporia crataegi,2020,7
572,Aglais urticae,2020,7
573,Papilio machaon,2020,7
574,Nymphalis polychloros,2020,7
575,Inachis io,2020,7
576,Aphantopus hyperanthus,2020,7
577,Araschnia levana,2020,7
578,Pararge aegeria,2020,7
579,Apatura ilia,2020,7
580,Polygonia c-album,2020,7
581,Nymphalis antiopa,2020,7
582,Vanessa cardui,2020,7
583,Vanessa atalanta,2020,7
584,Nymphalis xanthomelas,2020,7
585,Nymphalis antiopa,2021,215
586,Nymphalis polychloros,2021,215
587,Araschnia levana,2021,215
588,Inachis io,2021,215
589,Vanessa atalanta,2021,215
590,Aporia crataegi,2021,215
591,Papilio machaon,2021,215
592,Issoria lathonia,2021,215
593,Aphantopus hyperanthus,2021,215
594,Pararge aegeria,2021,215
595,Apatura ilia,2021,215
596,Polygonia c-album,2021,215
597,Aglais urticae,2021,215
598,Nymphalis xanthomelas,2021,215
599,Vanessa cardui,2021,215
